Chromosome	Position	Depth
chr1	10000	1
chr1	10001	4
chr1	10002	5
chr1	10003	7
chr1	10004	7
chr1	10005	7
chr1	10006	7
chr1	10007	7
chr1	10008	7
chr1	10009	7
chr1	10010	9
chr1	10011	12
chr1	10012	14
chr1	10013	14
chr1	10014	13
chr1	10015	15
chr1	10016	15
chr1	10017	15
chr1	10018	15
chr1	10019	15
chr1	10020	16
chr1	10021	16
chr1	10022	16
chr1	10023	16
chr1	10024	16
chr1	10025	16
chr1	10026	16
chr1	10027	16
chr1	10028	18
chr1	10029	18
chr1	10030	18
chr1	10031	18
chr1	10032	18
chr1	10033	19
chr1	10034	19
chr1	10035	20
chr1	10036	22
chr1	10037	23
chr1	10038	22
chr1	10039	24
chr1	10040	25
chr1	10041	26
chr1	10042	26
chr1	10043	27
chr1	10044	26
chr1	10045	27
chr1	10046	27
chr1	10047	27
chr1	10048	27
chr1	10049	27
chr1	10050	26
chr1	10051	28
chr1	10052	28
chr1	10053	28
chr1	10054	28
chr1	10055	28
chr1	10056	27
chr1	10057	28
chr1	10058	29
chr1	10059	29
chr1	10060	29
chr1	10061	29
chr1	10062	29
chr1	10063	29
chr1	10064	29
chr1	10065	29
chr1	10066	29
chr1	10067	29
chr1	10068	31
chr1	10069	32
chr1	10070	33
chr1	10071	33
chr1	10072	33
chr1	10073	33
chr1	10074	32
chr1	10075	34
chr1	10076	34
chr1	10077	35
chr1	10078	36
chr1	10079	37
chr1	10080	41
chr1	10081	44
chr1	10082	45
chr1	10083	50
chr1	10084	51
chr1	10085	53
chr1	10086	54
chr1	10087	54
chr1	10088	56
chr1	10089	57
chr1	10090	58
chr1	10091	58
chr1	10092	60
chr1	10093	63
chr1	10094	65
chr1	10095	68
chr1	10096	73
chr1	10097	73
chr1	10098	72
chr1	10099	75
chr1	10100	77
chr1	10101	78
chr1	10102	79
chr1	10103	83
chr1	10104	80
chr1	10105	80
chr1	10106	83
chr1	10107	86
chr1	10108	87
chr1	10109	87
chr1	10110	85
chr1	10111	87
chr1	10112	86
chr1	10113	87
chr1	10114	88
chr1	10115	88
chr1	10116	88
chr1	10117	87
chr1	10118	87
chr1	10119	87
chr1	10120	87
chr1	10121	86
chr1	10122	86
chr1	10123	87
chr1	10124	87
chr1	10125	87
chr1	10126	87
chr1	10127	87
chr1	10128	87
chr1	10129	87
chr1	10130	86
chr1	10131	86
chr1	10132	86
chr1	10133	87
chr1	10134	87
chr1	10135	84
chr1	10136	84
chr1	10137	83
chr1	10138	81
chr1	10139	81
chr1	10140	81
chr1	10141	82
chr1	10142	80
chr1	10143	81
chr1	10144	84
chr1	10145	83
chr1	10146	84
chr1	10147	37
chr1	10148	86
chr1	10149	90
chr1	10150	92
chr1	10151	95
chr1	10152	103
