Chromosome	Position	Depth
chr1	9998	1
chr1	9999	1
chr1	10000	1
chr1	10001	7
chr1	10002	12
chr1	10003	15
chr1	10004	20
chr1	10005	21
chr1	10006	29
chr1	10007	29
chr1	10008	29
chr1	10009	30
chr1	10010	32
chr1	10011	34
chr1	10012	40
chr1	10013	41
chr1	10014	42
chr1	10015	43
chr1	10016	47
chr1	10017	47
chr1	10018	48
chr1	10019	49
chr1	10020	51
chr1	10021	51
chr1	10022	51
chr1	10023	51
chr1	10024	52
chr1	10025	53
chr1	10026	54
chr1	10027	56
chr1	10028	56
chr1	10029	60
chr1	10030	62
chr1	10031	62
chr1	10032	61
chr1	10033	63
chr1	10034	64
chr1	10035	65
chr1	10036	65
chr1	10037	65
chr1	10038	66
chr1	10039	67
chr1	10040	69
chr1	10041	70
chr1	10042	72
chr1	10043	71
chr1	10044	73
chr1	10045	74
chr1	10046	74
chr1	10047	76
chr1	10048	77
chr1	10049	77
chr1	10050	79
chr1	10051	79
chr1	10052	80
chr1	10053	81
chr1	10054	83
chr1	10055	82
chr1	10056	82
chr1	10057	84
chr1	10058	84
chr1	10059	84
chr1	10060	85
chr1	10061	86
chr1	10062	85
chr1	10063	87
chr1	10064	87
chr1	10065	87
chr1	10066	90
chr1	10067	94
chr1	10068	89
chr1	10069	97
chr1	10070	97
chr1	10071	97
chr1	10072	97
chr1	10073	101
chr1	10074	100
chr1	10075	102
chr1	10076	102
chr1	10077	103
chr1	10078	105
chr1	10079	111
chr1	10080	115
chr1	10081	118
chr1	10082	123
chr1	10083	125
chr1	10084	132
chr1	10085	136
chr1	10086	140
chr1	10087	144
chr1	10088	150
chr1	10089	153
chr1	10090	157
chr1	10091	157
chr1	10092	158
chr1	10093	162
chr1	10094	163
chr1	10095	171
chr1	10096	177
chr1	10097	185
chr1	10098	188
chr1	10099	197
chr1	10100	208
chr1	10101	207
chr1	10102	204
chr1	10103	201
chr1	10104	204
chr1	10105	204
chr1	10106	197
chr1	10107	198
chr1	10108	203
chr1	10109	208
chr1	10110	208
chr1	10111	206
chr1	10112	201
chr1	10113	199
chr1	10114	197
chr1	10115	197
chr1	10116	198
chr1	10117	204
chr1	10118	203
chr1	10119	202
chr1	10120	202
chr1	10121	204
chr1	10122	204
chr1	10123	202
chr1	10124	202
chr1	10125	202
chr1	10126	201
chr1	10127	201
chr1	10128	199
chr1	10129	199
chr1	10130	199
chr1	10131	198
chr1	10132	196
chr1	10133	196
chr1	10134	202
chr1	10135	202
chr1	10136	201
chr1	10137	201
chr1	10138	198
chr1	10139	197
chr1	10140	192
chr1	10141	194
chr1	10142	201
chr1	10143	201
chr1	10144	201
chr1	10145	198
chr1	10146	200
chr1	10147	107
chr1	10148	198
chr1	10149	200
chr1	10150	202
chr1	10151	207
chr1	10152	220
chr1	10153	223
chr1	10154	224
chr1	10155	233
chr1	10156	240
chr1	10157	247
chr1	10158	250
chr1	10159	253
chr1	10160	258
chr1	10161	269
chr1	10162	279
chr1	10163	289
chr1	10164	297
chr1	10165	304
chr1	10166	317
chr1	10167	325
chr1	10168	335
chr1	10169	339
chr1	10170	341
chr1	10171	340
chr1	10172	345
chr1	10173	347
chr1	10174	349
chr1	10175	352
chr1	10176	363
chr1	10177	368
chr1	10178	375
chr1	10179	365
chr1	10180	361
chr1	10181	365
chr1	10182	362
chr1	10183	366
chr1	10184	366
chr1	10185	362
chr1	10186	358
chr1	10187	358
chr1	10188	354
chr1	10189	350
chr1	10190	350
chr1	10191	347
chr1	10192	343
chr1	10193	340
chr1	10194	339
chr1	10195	333
chr1	10196	328
chr1	10197	322
chr1	10198	319
chr1	10199	311
chr1	10200	298
chr1	10201	297
chr1	10202	292
chr1	10203	287
chr1	10204	282
chr1	10205	278
chr1	10206	278
chr1	10207	274
chr1	10208	273
chr1	10209	273
chr1	10210	273
chr1	10211	274
chr1	10212	274
chr1	10213	276
chr1	10214	276
chr1	10215	272
chr1	10216	270
chr1	10217	270
chr1	10218	271
chr1	10219	271
chr1	10220	271
chr1	10221	269
chr1	10222	272
chr1	10223	272
chr1	10224	272
chr1	10225	271
chr1	10226	272
chr1	10227	274
chr1	10228	274
chr1	10229	271
chr1	10230	271
chr1	10231	154
chr1	10232	268
chr1	10233	275
chr1	10234	278
chr1	10235	275
chr1	10236	278
chr1	10237	278
chr1	10238	283
chr1	10239	285
chr1	10240	284
chr1	10241	286
chr1	10242	288
chr1	10243	288
chr1	10244	291
chr1	10245	291
chr1	10246	292
chr1	10247	295
chr1	10248	285
chr1	10249	282
chr1	10250	249
chr1	10251	244
chr1	10252	274
chr1	10253	265
chr1	10254	261
chr1	10255	254
chr1	10256	246
chr1	10257	234
chr1	10258	232
chr1	10259	232
chr1	10260	231
chr1	10261	232
chr1	10262	228
chr1	10263	220
chr1	10264	209
chr1	10265	198
chr1	10266	186
chr1	10267	179
chr1	10268	168
chr1	10269	161
chr1	10270	153
chr1	10271	146
chr1	10272	137
chr1	10273	133
chr1	10274	131
chr1	10275	127
chr1	10276	117
chr1	10277	115
chr1	10278	109
chr1	10279	102
chr1	10280	101
chr1	10281	100
chr1	10282	100
chr1	10283	98
chr1	10284	98
chr1	10285	94
chr1	10286	92
chr1	10287	91
chr1	10288	91
chr1	10289	90
chr1	10290	89
chr1	10291	89
chr1	10292	90
chr1	10293	93
chr1	10294	90
chr1	10295	93
chr1	10296	94
chr1	10297	94
chr1	10298	95
chr1	10299	97
chr1	10300	96
chr1	10301	98
chr1	10302	98
chr1	10303	97
chr1	10304	98
chr1	10305	99
chr1	10306	97
chr1	10307	100
chr1	10308	103
chr1	10309	102
chr1	10310	105
chr1	10311	104
chr1	10312	104
chr1	10313	101
chr1	10314	101
chr1	10315	103
chr1	10316	106
chr1	10317	106
chr1	10318	105
chr1	10319	106
chr1	10320	107
chr1	10321	107
chr1	10322	105
chr1	10323	104
chr1	10324	106
chr1	10325	105
chr1	10326	103
chr1	10327	103
chr1	10328	101
chr1	10329	103
chr1	10330	96
chr1	10331	103
chr1	10332	103
chr1	10333	98
chr1	10334	99
chr1	10335	101
chr1	10336	102
chr1	10337	103
chr1	10338	99
chr1	10339	98
chr1	10340	99
chr1	10341	96
chr1	10342	97
chr1	10343	97
chr1	10344	95
chr1	10345	96
chr1	10346	93
chr1	10347	91
chr1	10348	88
chr1	10349	89
chr1	10350	83
chr1	10351	84
chr1	10352	86
chr1	10353	89
chr1	10354	94
chr1	10355	95
chr1	10356	101
chr1	10357	102
chr1	10358	109
chr1	10359	112
chr1	10360	116
chr1	10361	125
chr1	10362	135
chr1	10363	141
chr1	10364	151
chr1	10365	155
chr1	10366	160
chr1	10367	162
chr1	10368	163
chr1	10369	164
chr1	10370	165
chr1	10371	167
chr1	10372	167
chr1	10373	168
chr1	10374	168
chr1	10375	168
chr1	10376	168
chr1	10377	170
chr1	10378	171
chr1	10379	171
chr1	10380	173
chr1	10381	176
chr1	10382	176
chr1	10383	176
chr1	10384	176
chr1	10385	179
chr1	10386	180
chr1	10387	180
chr1	10388	177
chr1	10389	180
chr1	10390	126
